workerid,proliferate.condition,adj,adj_tr,label,object,response,rt,slide_number_in_experiment,trial_type,error
900,condition1,closed,kapalı,box_closed_cardboard,box,[0.11],3479,45,,
900,condition1,metal,metal,spoon_metal_clean,spoon,[0.15],1696,46,,
900,condition1,high,yüksek,table_metal_high,table,[0.27],14113,47,,
900,condition1,low,alçak,table_metal_low,table,[0.68],5168,48,,
947,condition1,,,,beyaz,beyaz,0,1,bot_check,
947,condition1,black,siyah,nails_black_glossy,nails,[0],4302,3,,
947,condition1,skinny,zayıf,woman2_happy_skinny,woman,[0.31],12985,4,,
947,condition1,glass,cam,bottle_glass_big,bottle,[0],3167,5,,
947,condition1,triangular,üçgen,earring_big_triangular,earring,[0.01],2456,6,,
947,condition1,fat,şişman,woman2_happy_fat,woman,[0.33],2582,7,,
947,condition1,clean,temiz,spoon_metal_clean,spoon,[0.55],4793,8,,
947,condition1,blue,mavi,pencil_long_blue,pencil,[0.01],2989,9,,
947,condition1,open,açık,box_open_cardboard,box,[0],2566,10,,
947,condition1,long,uzun,pencil_long_black,pencil,[0.64],5219,11,,
947,condition1,dirty,kirli,spoon_metal_dirty,spoon,[0.36],2522,12,,
947,condition1,sad,mutsuz,woman_old_sad,woman,[0.88],2624,13,,
947,condition1,curly,kıvırcık,hair_curly_blonde,hair,[0.11],4886,14,,
947,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[0.02],3184,15,,
947,condition1,metal,metal,spoon_metal_clean,spoon,[0.01],4878,16,,
947,condition1,small,küçük,bottle_glass_small,bottle,[0.58],3970,17,,
947,condition1,closed,kapalı,box_closed_cardboard,box,[0.01],6215,18,,
947,condition1,green,yeşil,frog_spotted_green,frog,[0.01],2414,19,,
947,condition1,wet,ıslak,shorts_wet_green,shorts,[0.14],2930,20,,
947,condition1,colored,renkli,picture_colored_rectangular,picture,[0.35],5913,21,,
947,condition1,old,yaşlı,man_old_bearded,man,[0.68],5331,22,,
947,condition1,clean-shaven,sakalsız,man_old_cleanshaven,man,[0.04],2473,23,,
947,condition1,blond,sarı,hair_curly_blonde,hair,[0.06],3581,24,,
947,condition1,plastic,plastik,bottle_plastic_big,bottle,[0.01],3788,25,,
947,condition1,young,genç,man_young_bearded,man,[0.7],4268,26,,
947,condition1,high,yüksek,table_metal_high,table,[0.62],5128,27,,
947,condition1,wooden,tahta,spoon_wooden_clean,spoon,[0.01],3196,28,,
947,condition1,dry,kuru,shorts_dry_green,shorts,[0.04],2890,29,,
947,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0],2220,30,,
947,condition1,matte,mat,nails_black_matte,nails,[0.62],3234,31,,
947,condition1,spotted,benekli,frog_spotted_green,frog,[0],4476,32,,
947,condition1,square,kare,picture_bw_square,picture,[0.03],1870,33,,
947,condition1,happy,mutlu,woman_old_happy,woman,[1],4586,34,,
947,condition1,straight,düz,hair_straight_blond,hair,[0.01],3071,35,,
947,condition1,glossy,parlak,nails_black_glossy,nails,[0.03],3130,36,,
947,condition1,big,büyük,bottle_glass_big,bottle,[0.6],4656,37,,
947,condition1,glasses-wearing,gözlüklü,man2_bearded_glassed,man,[0],2420,38,,
947,condition1,cardboard,karton,box_closed_cardboard,box,[0],2056,39,,
947,condition1,black and white,siyah beyaz,picture_bw_rectangular,picture,[0.03],2439,40,,
947,condition1,round,yuvarlak,earring_big_round,earring,[0],3788,41,,
947,condition1,short,kısa,pencil_short_black,pencil,[0.68],2822,42,,
947,condition1,striped,çizgili,frog_striped_green,frog,[0.01],2627,43,,
947,condition1,red,kırmızı,frog_spotted_red,frog,[0.01],2070,44,,
947,condition1,low,alçak,table_metal_low,table,[0.05],2034,45,,
947,condition1,bearded,sakallı,man_old_bearded,man,[0.03],3206,46,,
947,condition1,hat-wearing,şapkalı,man2_bearded_hatted,man,[0.02],1992,47,,
947,condition1,brown,kahverengi,hair_curly_brown,hair,[0],2088,48,,
823,condition1,,,,beyaz,beyaz,0,1,bot_check,
823,condition1,mustache-touting,bıyıklı,man2_mustached_glassed,man,[0],7125,3,,
823,condition1,hat-wearing,şapkalı,man2_bearded_hatted,man,[0],2079,4,,
823,condition1,fat,şişman,woman2_happy_fat,woman,[0.64],12923,5,,
823,condition1,happy,mutlu,woman_old_happy,woman,[0.77],2470,6,,
823,condition1,sad,mutsuz,woman_old_sad,woman,[0.78],2356,7,,
823,condition1,young,genç,man_young_bearded,man,[0.01],2229,8,,
823,condition1,dry,kuru,shorts_dry_green,shorts,[0.01],2160,9,,
823,condition1,striped,çizgili,frog_striped_green,frog,[0.03],1916,10,,
823,condition1,wet,ıslak,shorts_wet_green,shorts,[0.02],2379,11,,
823,condition1,low,alçak,table_metal_low,table,[0.03],2083,12,,
823,condition1,blue,mavi,pencil_long_blue,pencil,[0],1968,13,,
823,condition1,glossy,parlak,nails_black_glossy,nails,[0.14],3861,14,,
823,condition1,blond,sarı,hair_curly_blonde,hair,[0.01],2062,15,,
823,condition1,straight,düz,hair_straight_blond,hair,[0.03],2099,16,,
823,condition1,open,açık,box_open_cardboard,box,[0.02],2197,17,,
823,condition1,bearded,sakallı,man_old_bearded,man,[0.01],1888,18,,
823,condition1,rectangular,dikdörtgen,picture_bw_rectangular,picture,[0.01],1996,19,,
823,condition1,spotted,benekli,frog_spotted_green,frog,[0.03],1806,20,,
823,condition1,brown,kahverengi,hair_curly_brown,hair,[0.03],1962,21,,
823,condition1,glasses-wearing,gözlüklü,man2_bearded_glassed,man,[0.01],1866,22,,
823,condition1,old,yaşlı,man_old_bearded,man,[0.48],7032,23,,
823,condition1,big,büyük,bottle_glass_big,bottle,[0.17],3330,24,,
823,condition1,glass,cam,bottle_glass_big,bottle,[0.02],2037,25,,
823,condition1,long,uzun,pencil_long_black,pencil,[0.55],2957,26,,
823,condition1,skinny,zayıf,woman2_happy_skinny,woman,[0.72],3366,27,,
823,condition1,triangular,üçgen,earring_big_triangular,earring,[0.03],2084,28,,
823,condition1,metal,metal,spoon_metal_clean,spoon,[0.02],1882,29,,
823,condition1,high,yüksek,table_metal_high,table,[0.5],2082,30,,
823,condition1,clean,temiz,spoon_metal_clean,spoon,[0.79],3439,31,,
823,condition1,square,kare,picture_bw_square,picture,[0.01],1967,32,,
823,condition1,red,kırmızı,frog_spotted_red,frog,[0.02],1659,33,,
