workerid,proliferate.condition,adj,label,object,response,rt,slide_number_in_experiment,utterance,error
104,condition1,high,table_metal_high,table,[0.49],3480,15,,
104,condition1,mustache-touting,man2_mustached_glassed,man,[0.45],25994,16,,
104,condition1,clean-shaven,man_old_cleanshaven,man,[0.32],4978,17,,
104,condition1,long,pencil_long_black,pencil,[0.27],4604,18,,
104,condition1,blue,pencil_long_blue,pencil,[0.92],2719,19,,
104,condition1,wet,shorts_wet_green,shorts,[0.61],7560,20,,
104,condition1,brown,hair_curly_brown,hair,[0.98],3179,21,,
104,condition1,matte,nails_black_matte,nails,[0.61],5221,22,,
104,condition1,square,picture_bw_square,picture,[0.86],3844,23,,
104,condition1,metal,spoon_metal_clean,spoon,[0.17],8588,24,,
104,condition1,round,earring_big_round,earring,[0.83],4152,25,,
104,condition1,low,table_metal_low,table,[0.12],3415,26,,
104,condition1,sad,woman_old_sad,woman,[0.93],2420,27,,
104,condition1,closed,box_closed_cardboard,box,[0.32],2502,28,,
104,condition1,hat-wearing,man2_bearded_hatted,man,[0],3052,29,,
104,condition1,bearded,man_old_bearded,man,[0],2735,30,,
104,condition1,glossy,nails_black_glossy,nails,[0.54],3198,31,,
104,condition1,straight,hair_straight_blond,hair,[0.61],5204,32,,
104,condition1,curly,hair_curly_blonde,hair,[0.65],5068,33,,
104,condition1,striped,frog_striped_green,frog,[0.2],2954,34,,
104,condition1,colored,picture_colored_rectangular,picture,[0.79],5133,35,,
104,condition1,green,frog_spotted_green,frog,[0.17],3884,36,,
104,condition1,dirty,spoon_metal_dirty,spoon,[0.12],2428,37,,
104,condition1,red,frog_spotted_red,frog,[0.12],2283,38,,
104,condition1,triangular,earring_big_triangular,earring,[0.8],3504,39,,
104,condition1,wooden,spoon_wooden_clean,spoon,[0.23],4273,40,,
104,condition1,skinny,woman2_happy_skinny,woman,[0.12],3724,41,,
104,condition1,small,bottle_glass_small,bottle,[0.23],19049,42,,
104,condition1,rectangular,picture_bw_rectangular,picture,[0.13],3181,43,,
104,condition1,spotted,frog_spotted_green,frog,[0.17],2323,44,,
104,condition1,big,bottle_glass_big,bottle,[0.18],2007,45,,
104,condition1,black and white,picture_bw_rectangular,picture,[0.73],3286,46,,
104,condition1,fat,woman2_happy_fat,woman,[0.74],2395,47,,
104,condition1,dry,shorts_dry_green,shorts,[0.52],1982,48,,
113,condition1,,,Mary,Mary,0,1,bot_check,
113,condition1,clean,spoon_metal_clean,spoon,[0.02],8917,3,,
113,condition1,matte,nails_black_matte,nails,[0.78],6419,4,,
113,condition1,high,table_metal_high,table,[0.99],7559,5,,
113,condition1,black,nails_black_glossy,nails,[0.03],4830,6,,
113,condition1,small,bottle_glass_small,bottle,[0.99],2467,7,,
113,condition1,blond,hair_curly_blonde,hair,[0.05],2660,8,,
113,condition1,long,pencil_long_black,pencil,[0.97],2375,9,,
113,condition1,striped,frog_striped_green,frog,[0.18],4257,10,,
113,condition1,clean-shaven,man_old_cleanshaven,man,[0.59],3246,11,,
113,condition1,low,table_metal_low,table,[0.88],2564,12,,
113,condition1,old,man_old_bearded,man,[0.95],5523,13,,
